seqnames	start	end	width	strand	ratio	read.corrected
19	48595000	48599999	5000	*	1.08501519467527	1.08501519467527
19	48600000	48604999	5000	*	1.11217206565469	1.11217206565469
19	48605000	48609999	5000	*	1.12624970698436	1.12624970698436
19	48610000	48614999	5000	*	1.1114589304689	1.1114589304689
19	48615000	48619999	5000	*	1.09545316045798	1.09545316045798
19	48620000	48624999	5000	*	1.06700419787672	1.06700419787672
19	48625000	48629999	5000	*	1.10006655163112	1.10006655163112
19	48630000	48634999	5000	*	1.06697521624948	1.06697521624948
19	48635000	48639999	5000	*	1.0506822664094	1.0506822664094
19	48640000	48644999	5000	*	1.0796938628464	1.0796938628464
19	48645000	48649999	5000	*	1.07576349946403	1.07576349946403
19	48650000	48654999	5000	*	1.09174138056015	1.09174138056015
19	48655000	48659999	5000	*	1.01358619922928	1.01358619922928
19	48660000	48664999	5000	*	1.06674782348425	1.06674782348425
19	48665000	48669999	5000	*	1.07911098975424	1.07911098975424
19	48670000	48674999	5000	*	1.09607147416232	1.09607147416232
19	48675000	48679999	5000	*	1.07086507468214	1.07086507468214
19	48680000	48684999	5000	*	1.17701474808334	1.17701474808334
19	48685000	48689999	5000	*	1.10432152123548	1.10432152123548
19	48690000	48694999	5000	*	1.17198707278064	1.17198707278064
19	48695000	48699999	5000	*	1.10800424094844	1.10800424094844
19	48700000	48704999	5000	*	1.09697471285213	1.09697471285213
19	48705000	48709999	5000	*	1.12539833940177	1.12539833940177
19	48710000	48714999	5000	*	1.08970293716811	1.08970293716811
19	48715000	48719999	5000	*	1.13440256273245	1.13440256273245
19	48720000	48724999	5000	*	1.12894747441644	1.12894747441644
19	48725000	48729999	5000	*	1.19693239206906	1.19693239206906
19	48730000	48734999	5000	*	1.12786253744908	1.12786253744908
19	48735000	48739999	5000	*	1.16570319975555	1.16570319975555
19	48740000	48744999	5000	*	1.06174787698873	1.06174787698873
19	48745000	48749999	5000	*	1.04820107710512	1.04820107710512
19	48750000	48754999	5000	*	1.07895258213608	1.07895258213608
19	48755000	48759999	5000	*	1.08854395743387	1.08854395743387
19	48760000	48764999	5000	*	1.10478243531185	1.10478243531185
19	48765000	48769999	5000	*	1.10205538021299	1.10205538021299
19	48770000	48774999	5000	*	1.13588018852754	1.13588018852754
19	48775000	48779999	5000	*	1.06141943817976	1.06141943817976
19	48780000	48784999	5000	*	1.13036178839814	1.13036178839814
19	48785000	48789999	5000	*	1.07496326147843	1.07496326147843
19	48790000	48794999	5000	*	1.21217487378825	1.21217487378825
19	48795000	48799999	5000	*	1.14339653427155	1.14339653427155
19	48800000	48804999	5000	*	1.11043462860469	1.11043462860469
19	48805000	48809999	5000	*	1.12005268054478	1.12005268054478
19	48810000	48814999	5000	*	1.11330421369637	1.11330421369637
19	48815000	48819999	5000	*	1.07673500331527	1.07673500331527
19	48820000	48824999	5000	*	1.07214781785597	1.07214781785597
19	48825000	48829999	5000	*	1.09481032479228	1.09481032479228
19	48830000	48834999	5000	*	1.0861838486682	1.0861838486682
19	48835000	48839999	5000	*	1.09735135177177	1.09735135177177
19	48840000	48844999	5000	*	1.06160967208157	1.06160967208157
19	48845000	48849999	5000	*	1.06994431764972	1.06994431764972
19	48850000	48854999	5000	*	1.13714929573871	1.13714929573871
19	48855000	48859999	5000	*	1.14031485292948	1.14031485292948
19	48860000	48864999	5000	*	1.05344425570141	1.05344425570141
19	48865000	48869999	5000	*	1.05759628612289	1.05759628612289
19	48870000	48874999	5000	*	1.07572798065159	1.07572798065159
19	48875000	48879999	5000	*	1.08305009718673	1.08305009718673
19	48880000	48884999	5000	*	1.11174375147125	1.11174375147125
19	48885000	48889999	5000	*	1.1330965097093	1.1330965097093
19	48890000	48894999	5000	*	1.13228462788459	1.13228462788459
19	48895000	48899999	5000	*	1.05053327060983	1.05053327060983
19	48900000	48904999	5000	*	1.04704570959351	1.04704570959351
19	48905000	48909999	5000	*	1.17245690464973	1.17245690464973
19	48910000	48914999	5000	*	1.06839268156731	1.06839268156731
19	48915000	48919999	5000	*	1.10374545930457	1.10374545930457
19	48920000	48924999	5000	*	1.08893825728354	1.08893825728354
19	48925000	48929999	5000	*	1.08102548959342	1.08102548959342
19	48930000	48934999	5000	*	1.09849334594632	1.09849334594632
19	48935000	48939999	5000	*	1.17074941707554	1.17074941707554
19	48940000	48944999	5000	*	1.05599743362089	1.05599743362089
19	48945000	48949999	5000	*	1.06576435792818	1.06576435792818
19	48950000	48954999	5000	*	1.10993278350802	1.10993278350802
19	48955000	48959999	5000	*	1.06741895156942	1.06741895156942
19	48960000	48964999	5000	*	1.08189952888493	1.08189952888493
19	48965000	48969999	5000	*	1.17296759016286	1.17296759016286
19	48970000	48974999	5000	*	1.00927153980005	1.00927153980005
19	48975000	48979999	5000	*	1.12037064970747	1.12037064970747
19	48980000	48984999	5000	*	1.15041597927675	1.15041597927675
19	48985000	48989999	5000	*	1.15980912296732	1.15980912296732
19	48990000	48994999	5000	*	1.14534712435074	1.14534712435074
19	48995000	48999999	5000	*	1.0562643926721	1.0562643926721
19	49000000	49004999	5000	*	1.11375054877842	1.11375054877842
19	49005000	49009999	5000	*	1.07226408092813	1.07226408092813
19	49010000	49014999	5000	*	1.07775258693158	1.07775258693158
19	49015000	49019999	5000	*	1.02463338857608	1.02463338857608
19	49020000	49024999	5000	*	1.09135471103963	1.09135471103963
19	49025000	49029999	5000	*	1.04072052870814	1.04072052870814
19	49030000	49034999	5000	*	1.08666970074437	1.08666970074437
19	49035000	49039999	5000	*	1.08938063931287	1.08938063931287
19	49040000	49044999	5000	*	1.07616936752268	1.07616936752268
19	49045000	49049999	5000	*	1.09854940845221	1.09854940845221
19	49050000	49054999	5000	*	1.10327590014126	1.10327590014126
19	49055000	49059999	5000	*	1.06309680306153	1.06309680306153
19	49060000	49064999	5000	*	1.13156377292973	1.13156377292973
19	49065000	49069999	5000	*	1.13430537156527	1.13430537156527
19	49070000	49074999	5000	*	1.09451559233806	1.09451559233806
19	49075000	49079999	5000	*	1.08143050266779	1.08143050266779
19	49080000	49084999	5000	*	1.10132536026372	1.10132536026372
19	49085000	49089999	5000	*	1.07294873501955	1.07294873501955
19	49090000	49094999	5000	*	1.10463103451767	1.10463103451767
19	49095000	49099999	5000	*	1.10269440628078	1.10269440628078
19	49100000	49104999	5000	*	1.12567898749841	1.12567898749841
19	49105000	49109999	5000	*	1.05735570843851	1.05735570843851
19	49110000	49114999	5000	*	1.06539461564116	1.06539461564116
19	49115000	49119999	5000	*	1.13938883025863	1.13938883025863
19	49120000	49124999	5000	*	1.0881910099865	1.0881910099865
19	49125000	49129999	5000	*	1.07641185553521	1.07641185553521
19	49130000	49134999	5000	*	1.1393392331653	1.1393392331653
19	49135000	49139999	5000	*	1.14361219549441	1.14361219549441
19	49140000	49144999	5000	*	1.1094893589389	1.1094893589389
19	49145000	49149999	5000	*	1.09129024860763	1.09129024860763
19	49150000	49154999	5000	*	1.13577641130766	1.13577641130766
19	49155000	49159999	5000	*	1.09933342152675	1.09933342152675
19	49160000	49164999	5000	*	1.06228911365602	1.06228911365602
19	49165000	49169999	5000	*	1.09560406445561	1.09560406445561
19	49170000	49174999	5000	*	1.0144089169703	1.0144089169703
19	49175000	49179999	5000	*	1.03163454794944	1.03163454794944
19	49180000	49184999	5000	*	1.07841021790985	1.07841021790985
19	49185000	49189999	5000	*	1.11481637731239	1.11481637731239
19	49190000	49194999	5000	*	1.05138398012663	1.05138398012663
19	49195000	49199999	5000	*	1.12603238011276	1.12603238011276
19	49200000	49204999	5000	*	1.03155860581774	1.03155860581774
19	49205000	49209999	5000	*	1.05627371714839	1.05627371714839
19	49210000	49214999	5000	*	1.06048178883531	1.06048178883531
19	49215000	49219999	5000	*	1.09637918223086	1.09637918223086
19	49220000	49224999	5000	*	1.05853297273006	1.05853297273006
19	49225000	49229999	5000	*	1.07117564032761	1.07117564032761
19	49230000	49234999	5000	*	1.14659833418785	1.14659833418785
19	49235000	49239999	5000	*	1.09521338748843	1.09521338748843
19	49240000	49244999	5000	*	1.10204826265528	1.10204826265528
19	49245000	49249999	5000	*	1.07950260201804	1.07950260201804
19	49250000	49254999	5000	*	1.0361317396937	1.0361317396937
19	49255000	49259999	5000	*	1.05368522409942	1.05368522409942
19	49260000	49264999	5000	*	1.06355486780709	1.06355486780709
19	49265000	49269999	5000	*	1.10769690866783	1.10769690866783
19	49270000	49274999	5000	*	1.09606107446205	1.09606107446205
19	49275000	49279999	5000	*	1.13380982866305	1.13380982866305
19	49280000	49284999	5000	*	1.10609482718879	1.10609482718879
19	49285000	49289999	5000	*	1.0443518862541	1.0443518862541
19	49290000	49294999	5000	*	1.05310090538866	1.05310090538866
19	49295000	49299999	5000	*	1.06872535316864	1.06872535316864
